Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,New Deck Template,Framing; Materials; Hangers/Connectors,22PGrkPhsc7Y,Material | Framing | Joist hanger 2x6,LUS26Z,0,{j_qty}*2,Each,1.36,,2.72,,0600 Framing,Materials,false,,false,false,true,false,,,,,,true,true,,,,35,1.2,,None,1.2,,false,,
,New Deck Template,Framing; Materials; Hangers/Connectors,22NmAGnFnNh8,Joist Hanger 2x8,,0,{j_qty}*2,Each,2.38,,3.4,,2500 Decking,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Hangers/Connectors,22NnayzD22SL,Material | Decking | Joist Hangers - 2x8 / 2x10,,0,{j_qty}*2,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Hangers/Connectors,22Ns2rapwzXj,Material | Framing | Joist hanger 4x10,,0,,Each,4,,5.71,,0600 Framing,Materials,false,,false,false,true,true,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Hangers/Connectors,22Np3xdEbgGb,Material | Decking | LS50Z Skewable Angle (ZMAX®),LS50Z,0,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Hangers/Connectors,22Np3xdBd9RB,Material | Decking | H2.5AZ Hurricane Tie (ZMAX®),H2.5AZ,0,{j_qty},Each,1.28,,2.56,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Hangers/Connectors,22Np3xdGE9hZ,Material | Decking | DTT2Z Connector (ZMAX®)(Fasteners and Washers included),DTT2Z,0,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Nails/Screws,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Nails/Screws,22Nn3YrUGPCS,"Material | Cabinetry | Screws Trim Head - 5lb | 2""",,1,,Each,35,,49,,1900 Cabinetry,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Nails/Screws,22NmAGnAQQcq,"Material | Miscellaneous | Screws 3"" exterior | 5lb",,1,,Each,46.02,,65.74,,3100 Miscellaneous,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Nails/Screws,22Np3xdHnDd2,"Material | Decking | Strong-Drive SCN Connector Nail | 1 1/2"" 10ga 1 LB",N8DHDG,2,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Bolts,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Bolts,22Np3xdNXuxz,"Material | Decking | Bolt Nut HDG | 1/2""",NUT-1/2 MBHDG,4,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Bolts,22Np3xdM2TBn,"Material | Decking | Machine Bolt | 1/2x6""",1/2 MBHDGH,4,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Stairs Materials,,,,,{Parent Quantity},Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Stairs Materials; Hardware,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Stairs Materials; Hardware,22Np3xgSRWvP,"Material | Decking | DWP Deck Screws | #10 2-1/2"" 305SS FLAT T25 1#",S10250WP1,2,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Materials; Stairs Materials; Hardware,22Np3xdvVKzW,Material | Decking | LSCZ Adjustable Stair-Stringer Connector (ZMAX®),LSCZ,0,{s_stringers_qty},Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Decking,,,Install Cedarwood Decking with traditional or hidden fastener system.,,ceil({d_total_lf}*{waste_factor}),Linear Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Decking; Materials,,,,,{d_total_qty},Square Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Decking; Materials,22PGrkPk6vaw,"Material | Decking | Composite Deck Screws | 2 1/2""",350 ct,0,"if({screw_type}=""normal"", CEIL( ({Parent Quantity} / 100) * (16 / {j_spacing}) ),0)",Each,63.33,,126.66,,2500 Decking,Materials,false,,false,false,true,false,,,,,,true,true,,,,35,1.2,,None,1.2,,false,,
,New Deck Template,Decking; Materials,22Ns2ra6hq7C,Material | Miscellaneous | Hidden Fasteners - 500 sq ft,,0,"if({screw_type}=""hidden"",if(({d_total_sf}+{s_decking_sf})<500,1,2),0)",Each,319.99,,457.13,,3100 Miscellaneous,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Decking; Materials,22Np3xdRjcP3,"Material | Decking | Strong-Drive SCN Connector Nail | 1 1/2"" 9ga 1 LB",N10DHDG,3,,Each,,,,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Decking; Labor,,,,,{d_total_sf},Hours,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Decking; Labor,22PGT3tHLnaW,Labor | Decking | Install Stairs,,0,ceil({parent quantity}* {production rate}),Hours,42,ceil({Labor Wage}*{Labor Burden}),84,,0000 Uncategorized,Labor,false,,false,false,true,false,,,,,,true,true,,0.2,,35,1.2,,None,1.2,,false,,
,New Deck Template,Decking; Labor,22NnDY6VDpFa,Labor | Decking | Install Decking,,0,ceil({parent quantity}* {production rate}),Hours,,ceil({Labor Wage}*{Labor Burden}),,,2500 Decking,Labor,false,,false,false,true,false,,,,,,true,true,,0.072,,,1.35,,,,,,,
,New Deck Template,Decking; Picture Frame,,,Number of Picture Frame Boards,,ceil({pf_qty}*{waste_factor}),Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Decking; Picture Frame; Deck Boards,,,Linear Feet,,ceil({pf_lf}*{waste_factor}),Linear Feet,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
