Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,Dempsey Copy,Bathtub Install Package; Materials,22P3A5BJ3ZiT,Material | Plumbing | Zeafive Acrylic Alcove Bathtub in White,"60 in. x 32 in.
Right Drain
 Chrome Drain",1,,Each,467,,517,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Zeafive-Tco-60-in-x-32-in-Alcove-Soaking-Bathtub-with-Right-Drain-Rectangular-Apron-Skirt-Acrylic-Tub-in-White-Chrome-Drain-ZT-R-6032/331719500?source=shoppingads&locale=en-US&gQT=1,,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package; Materials; Zeafive Bath + Drain,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package; Materials; Zeafive Bath + Drain,22P3A5BJ3ZiT,Material | Plumbing | Zeafive Acrylic Alcove Bathtub in White,"60 in. x 32 in.
Right Drain
 Chrome Drain",1,,Each,467,,517,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Zeafive-Tco-60-in-x-32-in-Alcove-Soaking-Bathtub-with-Right-Drain-Rectangular-Apron-Skirt-Acrylic-Tub-in-White-Chrome-Drain-ZT-R-6032/331719500?source=shoppingads&locale=en-US&gQT=1,,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package; Materials; Zeafive Bath + Drain,22P3vLVsCGd8,"Material | Plumbing | European Brass Bath Tub Waste Drain Kit in Matte Black | 19""","https://www.homedepot.com/p/Westbrass-19-in-European-Brass-Bath-Tub-Waste-Drain-Kit-in-Matte-Black-79317SWH-62/318981513
Overflow faceplate with a no-hole design for a smooth appearance
Constructed from 17-Gauge brass for ultimate durability
Available in a variety of finishes
View More Details",1,,Each,134.99,,192.84,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Westbrass-19-in-European-Brass-Bath-Tub-Waste-Drain-Kit-in-Matte-Black-79317SWH-62/318981513,,,,,,,0.1,,,,
,Dempsey Copy,Bathtub Install Package; Materials,22P3A5JnLGvF,Material | Plumbing | KOHLER Bellwether White Cast Iron Alcove Soaking Bathtub,"30.25-in x 60-in 
(Right Drain)",1,,Each,889.38,,931.65,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/KOHLER-Bellwether-60-in-x-30-in-Soaking-Bathtub-with-Right-Hand-Drain-in-White-K-838-0/203309984,0.1,,35,1.3,,,1.2,,,,
,Dempsey Copy,Bathtub Install Package; Labor,,,,,,,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package; Labor,22NmAGBwPMyk,Labor | Demo | Demo Deck,Demolition and remove all items in the space to bring it to a state where we can start new construction.,6,,Hours,50,,71.43,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,0.05,,,,,,,,,,
,Dempsey Copy,Bathtub Install Package; Labor,22NmAGBwPMyk,Labor | Demo | Demo Deck,Demolition and remove all items in the space to bring it to a state where we can start new construction.,6,,Hours,50,,71.43,,0200 Demolition,Labor,false,,false,false,true,false,,,,,,true,true,,0.05,,,,,,,,,,
,Dempsey Copy,Customer Material Selections,,,"Wall/Floor/Accent Tile Options.
Shower Trim Options.
Vanities/Toilets/Hangers.",,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Dempsey Copy,Customer Material Selections; Tile Options,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
